omim_id,uniprot_id
164860,P08581
180381,Q15835
115440,P68400
611695,Q6IQ55
618726,Q6ZWH5
601639,P17612
606274,Q9HCP0
600864,P48730
606980,Q8NI60
604965,Q13043
600222,P35590
604632,Q08AM6
180435,Q05823
613932,Q59H18
605629,O14578
602590,Q13153
605101,Q9NYJ8
614720,Q9BWU1
607072,Q8WTW4
134935,P22455
607585,Q13315
601300,P36896
300300,Q06187
601296,O15146
606476,Q96DU7
609763,Q9BTU6
114078,Q9UQM7
189980,P00519
164940,P09769
602730,Q13705
164770,P07333
613635,Q9BQI3
105590,Q9UM73
165120,P07948
136351,P36888
604373,O96017
608679,Q96S44
604588,Q96PY6
607982,Q96KG9
102576,Q04771
606883,Q9NWZ3
616899,Q8TEA7
604032,Q9NZJ5
604459,Q9Y616
164920,P10721
136350,P11362
602130,Q16644
609799,Q86SG6
605377,Q09013
606808,Q8NEV4
604834,Q9UHD2
609798,Q8TD19
191311,Q16832
611061,Q8IXL6
610005,Q9UKE5
147670,P06213
602897,P53779
602123,Q13555
300142,O75914
171834,P42336
615514,Q9NYV4
600341,Q06418
600038,P42679
600004,P54756
604998,Q14012
176949,P31152
603441,Q00532
164880,P07947
617517,Q96S38
600050,Q16584
300283,P51617
603440,Q00537
601254,P52564
607023,Q9NYY3
605213,O15530
609370,Q8TDR2
606511,Q9P0L2
612760,Q9NRH2
607025,Q14680
611450,Q7Z7A4
611411,Q8N5S9
607077,O94806
605762,Q9UQ07
602006,P49137
604092,P33981
604861,Q9NRM7
618616,Q8TD08
600497,P54646
609001,O75747
604746,Q96S53
609240,Q8TF76
300041,P51841
604044,P51956
614994,Q96NX5
606992,Q9UHH9
610712,Q9BXA6
300547,Q9P289
147522,P27987
602896,P45984
603311,O00311
606993,Q96PC2
606249,Q9Y3S1
116940,P06493
613167,Q9C098
602521,Q13164
606573,P42685
602989,P49760
607898,Q96RU7
604253,Q9Y6M4
614793,Q5TCX8
602214,P78368
602448,Q99683
602549,Q16513
609426,Q8N4C8
617754,Q9BVS4
601158,P45983
614248,Q9H792
311550,Q00536
109636,P35626
602745,O14986
606987,Q8WTQ7
603412,Q5VT25
608076,Q13470
606784,P49840
165020,P08922
190030,P07332
601839,P54753
604727,O94768
608973,Q9H0K1
613472,Q6PHR2
610709,Q9BXA7
611181,Q6JQN1
603289,O43293
602520,Q13163
602913,Q9H4B4
603140,P48426
615002,Q96RR4
606964,Q15208
608939,Q9UBS0
600289,Q16539
611683,Q9HA64
109135,P30530
600869,P43250
600526,Q7KZI7
603497,O43781
608110,Q9NQU5
610076,Q8IZL9
601329,P53667
605276,Q6ZMQ8
605817,Q9Y572
147521,P23677
603304,O43187
619624,Q96Q04
606010,Q9UHY1
616711,Q9H2K8
604002,O75116
600831,P53355
603166,Q12851
610737,Q6VAB6
603251,P50750
603275,Q99755
602399,P53778
604468,O95382
602098,P53350
607969,Q9HAZ1
609462,Q92519
300820,Q6ZN16
147671,P14616
609235,Q8TDC3
608981,Q8NER5
604984,Q9Y6E0
607648,Q9UEW8
609461,Q96RU8
608459,Q8IVW4
617344,Q86YV5
610040,Q8WXR4
611433,Q6J9G0
124095,P41240
605451,O96013
603919,O94804
102581,P27037
300101,P51813
603168,O75385
602925,P42338
115442,P19784
610785,Q8N165
300295,Q9P1W9
602990,P49761
607660,Q96PN8
608192,Q8IZE3
607032,Q96Q15
164690,P42684
607589,Q9HBY8
608650,Q8IYT8
123828,Q00526
602425,Q9Y6R4
609487,Q9Y2U5
176945,P29322
606724,Q9BUB5
300083,P51817
620399,Q86TW2
610580,Q86V86
602255,O00506
606991,Q92551
614993,Q8NCB2
300303,Q9UK32
602609,Q8NEB9
601795,P27361
400008,O43930
601988,P53671
607957,Q8IU85
615563,Q9NSY0
604726,Q9UEE5
116953,P24941
609851,Q8NFU5
609437,Q8N2I9
602190,Q15375
176960,P17252
600539,P41743
608849,Q8TAS1
600408,Q08345
108960,P16066
610989,Q8IWU2
600448,Q04759
602052,O14976
610679,O94921
618526,Q6ZS72
616147,Q96Q40
611063,O75063
601959,P51957
602898,Q15759
609181,Q9NR20
619043,Q9H8X2
609779,Q8NG66
606848,Q8TDX7
604424,Q9H422
615153,Q8NB16
177015,P11801
602004,Q13882
610710,Q96PF2
604719,O75716
602539,Q99759
605790,Q9BXU1
605069,Q9HBH9
603606,O75676
609476,Q9UBE8
618002,O15021
602338,Q13523
109635,P25098
603496,Q92630
609236,Q8IWQ3
603579,O14730
601685,Q15349
164960,P11309
620414,P0C263
601032,Q16512
179611,P29320
603442,Q92772
601782,Q15569
604923,Q9Y4K4
620394,Q96QS6
602958,O00141
602757,O15197
193525,P30291
602315,P46734
608003,Q86Z02
619415,Q5TCY1
601955,P50613
612101,Q8TCG2
601335,P45985
179610,P21709
172470,Q16816
137025,P06241
611712,Q8NE63
617448,Q58A45
606495,Q96L34
606968,O00418
602838,O00750
600066,Q9UF33
601684,Q15418
602169,Q86Y07
603261,P78356
609859,Q9NVF9
601702,Q13464
600524,P34925
602739,Q13131
601212,Q14289
602980,P78362
602904,Q16659
604046,O95747
617010,Q96C45
612147,Q32MK0
604921,Q8IVH8
605048,Q14164
301002,Q9UPE1
600505,P48729
603607,O75582
613199,Q9UL54
609858,Q9HBU6
311010,P10398
608130,O60285
617648,Q9NSY1
606868,Q9H2X6
603473,O95835
600600,P54762
176942,P16591
300791,Q7Z2Y5
604970,Q96GD4
600870,P34947
600758,Q05397
612865,Q5T9C9
602899,O15264
610711,Q6SA08
116951,Q9UQ88
191195,P41279
600058,P42681
612257,Q6P0Q8
608425,Q9H479
605004,P49841
617797,Q9H3Y6
191316,Q16288
605030,Q13188
613166,Q8N568
616563,Q9H2G2
604033,O75460
603014,O14733
151520,P29376
610714,Q6P5Z2
176982,Q05513
600447,Q12852
600137,Q02779
608938,P23443
619965,Q86TB3
606532,P57058
600583,P42680
601983,Q92918
614681,A2RU49
176873,P21127
619771,Q8IV63
604742,O15075
607505,Q96RG2
607708,Q13557
604884,Q9HC98
607333,Q9C0K7
600136,P80192
615836,Q9Y2H1
604034,Q76MJ5
602474,Q99640
169190,Q07002
603455,O43353
600863,P49674
616567,Q9UIK4
611210,Q96KB5
614288,Q709F0
601132,Q8IVT5
608438,Q9UKI8
613991,Q6DT37
604915,O43283
620212,Q52WX2
608038,Q9P286
617753,Q9BRS2
165070,P17948
300680,Q6P2M8
176970,P05771
616405,Q2M2I8
601939,Q96SB4
601951,P49759
602188,P54764
