gene,mimNumber,preferredTitle
CDK5,123831,CYCLIN-DEPENDENT KINASE 5; CDK5
JAK1,147795,JANUS KINASE 1; JAK1
IRAK4,606883,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 4; IRAK4
AURKC,603495,AURORA KINASE C; AURKC
TYK2,176941,TYROSINE KINASE 2; TYK2
MAST3,612258,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 3; MAST3
TRPM7,605692,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 7; TRPM7"
TAOK1,610266,TAO KINASE 1; TAOK1
WNK4,601844,"PROTEIN KINASE, LYSINE-DEFICIENT 4; WNK4"
TRPM6,607009,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 6; TRPM6"
BMPR1A,601299,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IA; BMPR1A"
ANKK1,608774,ANKYRIN REPEAT- AND KINASE DOMAIN-CONTAINING PROTEIN 1; ANKK1
ITK,186973,IL2-INDUCIBLE T-CELL KINASE; ITK
NEK10,618726,NIMA-RELATED KINASE 10; NEK10
PIK3CA,171834,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA"
PKDCC,614150,"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN, CYTOPLASMIC; PKDCC"
FAM20C,611061,"FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER C; FAM20C"
PIKFYVE,604632,VAC14 COMPONENT OF PIKFYVE COMPLEX; VAC14
ALK,105590,ANAPLASTIC LYMPHOMA KINASE; ALK
STK33,607670,SERINE/THREONINE PROTEIN KINASE 33; STK33
ROR1,602336,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 1; ROR1
EIF2AK2,176871,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 2; EIF2AK2
CHEK2,604373,CHECKPOINT KINASE 2; CHEK2
TEK,600221,"TEK TYROSINE KINASE, ENDOTHELIAL; TEK"
MAPKAPK5,606723,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 5; MAPKAPK5
PINK1,608309,PTEN-INDUCED KINASE 1; PINK1
MARK3,602678,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 3; MARK3
CHUK,600664,COMPONENT OF NUCLEAR FACTOR KAPPA-B KINASE COMPLEX; CHUK
NEK2,604043,NIMA-RELATED KINASE 2; NEK2
AKT2,164731,AKT SERINE/THREONINE KINASE 2; AKT2
SPEG,615950,SPEG COMPLEX LOCUS; SPEG
DYRK1B,604556,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 1B; DYRK1B
KDR,191306,KINASE INSERT DOMAIN RECEPTOR; KDR
LRRK1,610986,LEUCINE-RICH REPEAT KINASE 1; LRRK1
EPHA10,611123,EPHRIN RECEPTOR EphA10; EPHA10
NEK1,604588,NIMA-RELATED KINASE 1; NEK1
JAK2,147796,JANUS KINASE 2; JAK2
WEE2,614084,WEE1 HOMOLOG 2; WEE2
ACVR1,102576,"ACTIVIN A RECEPTOR, TYPE I; ACVR1"
FGR,164940,"FGR PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; FGR"
BLK,191305,"BLK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; BLK"
CAMK2A,114078,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-ALPHA; CAMK2A
AKT3,611223,AKT SERINE/THREONINE KINASE 3; AKT3
ACVRL1,601284,"ACTIVIN A RECEPTOR, TYPE II-LIKE 1; ACVRL1"
CDK10,603464,CYCLIN-DEPENDENT KINASE 10; CDK10
FGFR3,134934,FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3
TRRAP,603015,TRANSFORMATION/TRANSCRIPTION DOMAIN-ASSOCIATED PROTEIN; TRRAP
CASK,300172,CALCIUM/CALMODULIN-DEPENDENT SERINE PROTEIN KINASE; CASK
ACVR2B,602730,"ACTIVIN A RECEPTOR, TYPE IIB; ACVR2B"
MASTL,608221,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE-LIKE; MASTL
NEK8,609799,NIMA-RELATED KINASE 8; NEK8
FLT3,136351,FMS-RELATED TYROSINE KINASE 3; FLT3
TEX14,605792,TESTIS-EXPRESSED GENE 14; TEX14
BUB1B,602860,BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE B; BUB1B
SGK3,607591,SERUM/GLUCOCORTICOID-REGULATED KINASE 3; SGK3
BMPR2,600799,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE II; BMPR2"
STK4,604965,SERINE/THREONINE PROTEIN KINASE 4; STK4
STK36,607652,SERINE/THREONINE PROTEIN KINASE 36; STK36
EIF2AK1,613635,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 1; EIF2AK1
EPHB2,600997,EPHRIN RECEPTOR EphB2; EPHB2
IRAK3,604459,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 3; IRAK3
IKBKB,603258,"INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE, SUBUNIT BETA; IKBKB"
DYRK1A,600855,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 1A; DYRK1A
CDK19,614720,CYCLIN-DEPENDENT KINASE 19; CDK19
MAP2K1,176872,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1; MAP2K1
DMPK,605377,DYSTROPHIA MYOTONICA PROTEIN KINASE; DMPK
PIK3CG,601232,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, GAMMA; PIK3CG"
MAP2K2,601263,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2; MAP2K2
PRKCH,605437,"PROTEIN KINASE C, ETA; PRKCH"
CDC42BPB,614062,"CDC42-BINDING PROTEIN KINASE, BETA; CDC42BPB"
ALPK3,617608,ALPHA KINASE 3; ALPK3
PRKCD,176977,"PROTEIN KINASE C, DELTA; PRKCD"
NEK9,609798,NIMA-RELATED KINASE 9; NEK9
NTRK1,191315,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 1; NTRK1"
RAF1,164760,"RAF1 PROTOONCOGENE, SERINE/THREONINE KINASE ; RAF1"
SCYL1,607982,SCY1-LIKE 1; SCYL1
BUB1,602452,BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE; BUB1
COQ8A,606980,COENZYME Q8A; COQ8A
ERBB2,164870,ERB-B2 RECEPTOR TYROSINE KINASE 2; ERBB2
ATM,607585,ATM SERINE/THREONINE KINASE; ATM
TP53RK,608679,TP53-REGULATING KINASE; TP53RK
MAP3K7,605101,TAK1-BINDING PROTEIN 2; TAB2
PLK4,605031,POLO-LIKE KINASE 4; PLK4
VRK1,602168,VRK SERINE/THREONINE KINASE 1; VRK1
RIPK1,603453,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 1; RIPK1
CHEK1,603078,CHECKPOINT KINASE 1; CHEK1
CDK4,123829,CYCLIN-DEPENDENT KINASE 4; CDK4
AURKA,603072,AURORA KINASE A; AURKA
MAPK1,176948,MITOGEN-ACTIVATED PROTEIN KINASE 1; MAPK1
WNK3,300358,"PROTEIN KINASE, LYSINE-DEFICIENT 3; WNK3"
PIK3C2A,603601,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, ALPHA; PIK3C2A"
CIT,605629,CITRON RHO-INTERACTING SERINE/THREONINE KINASE; CIT
SYK,600085,PROTEIN-TYROSINE KINASE SYK; SYK
ABL1,189980,"ABL PROTOONCOGENE 1, NONRECEPTOR TYROSINE KINASE; ABL1"
TBK1,604834,TANK-BINDING KINASE 1; TBK1
CHKB,612395,"CHOLINE KINASE, BETA; CHKB"
MERTK,604705,MER TYROSINE KINASE PROTOONCOGENE; MERTK
FGFR2,176943,FIBROBLAST GROWTH FACTOR RECEPTOR 2; FGFR2
PRKACA,601639,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, ALPHA; PRKACA"
CHKA,118491,"CHOLINE KINASE, ALPHA; CHKA"
PI4K2A,609763,"PHOSPHATIDYLINOSITOL 4-KINASE, TYPE 2, ALPHA; PI4K2A"
ATR,601215,ATR SERINE/THREONINE KINASE; ATR
BRAF,164757,"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF"
PDGFRB,173410,"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, BETA; PDGFRB"
RET,164761,RET PROTOONCOGENE; RET
TNNI3K,613932,TNNI3-INTERACTING KINASE; TNNI3K
CAMK4,114080,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IV; CAMK4
FAM20A,611062,"FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER A; FAM20A"
CDKL5,300203,CYCLIN-DEPENDENT KINASE-LIKE 5; CDKL5
PRKCG,176980,"PROTEIN KINASE C, GAMMA; PRKCG"
MUSK,601296,"MUSCLE, SKELETAL, RECEPTOR TYROSINE KINASE; MUSK"
ZAP70,176947,ZETA-CHAIN-ASSOCIATED PROTEIN KINASE; ZAP70
PRKG2,601591,"PROTEIN KINASE, cGMP-DEPENDENT, TYPE II; PRKG2"
NTRK2,600456,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 2; NTRK2"
PIP5K1C,606102,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, GAMMA; PIP5K1C"
DDR2,191311,"DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 2; DDR2"
PRKG1,176894,"PROTEIN KINASE, cGMP-DEPENDENT, REGULATORY, TYPE I; PRKG1"
EIF2AK4,609280,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 4; EIF2AK4
NUAK2,608131,"NUAK FAMILY, SNF1-LIKE KINASE, 2; NUAK2"
MAK,154235,MALE GERM CELL-ASSOCIATED KINASE; MAK
TLK2,608439,TOUSLED-LIKE KINASE 2; TLK2
ALPK1,607347,ALPHA KINASE 1; ALPK1
GUCY2C,601330,GUANYLATE CYCLASE 2C; GUCY2C
PI4KB,602758,"PHOSPHATIDYLINOSITOL 4-KINASE, BETA; PI4KB"
PRKDC,600899,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC SUBUNIT; PRKDC"
KIT,164920,"KIT PROTOONCOGENE, RECEPTOR TYROSINE KINASE; KIT"
SRC,190090,"SRC PROTOONCOGENE, NONRECEPTOR TYROSINE KINASE; SRC"
TIE1,600222,TYROSINE KINASE WITH IMMUNOGLOBULIN AND EGF FACTOR HOMOLOGY DOMAINS 1; TIE1
JAK3,600173,JANUS KINASE 3; JAK3
EGFR,131550,EPIDERMAL GROWTH FACTOR RECEPTOR; EGFR
TBCK,616899,TBC1 DOMAIN-CONTAINING KINASE; TBCK
PIK3CD,602839,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, DELTA; PIK3CD"
CSNK1D,600864,"CASEIN KINASE I, DELTA; CSNK1D"
EPHA2,176946,EPHRIN RECEPTOR EphA2; EPHA2
LCK,153390,"LCK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; LCK"
CSF1R,164770,COLONY-STIMULATING FACTOR 1 RECEPTOR; CSF1R
PAK3,300142,p21 PROTEIN-ACTIVATED KINASE 3; PAK3
CSNK1G1,606274,"CASEIN KINASE I, GAMMA-1; CSNK1G1"
SIK1,605705,SALT-INDUCIBLE KINASE 1; SIK1
FGFR4,134935,FIBROBLAST GROWTH FACTOR RECEPTOR 4; FGFR4
PRKCE,176975,"PROTEIN KINASE C, EPSILON; PRKCE"
CAMK2G,602123,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-GAMMA; CAMK2G
MAP3K20,609479,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20; MAP3K20
EPHB4,600011,EPHRIN RECEPTOR EphB4; EPHB4
MAP3K14,604655,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14; MAP3K14
COQ8B,615567,COENZYME Q8B; COQ8B
SIK3,614776,SIK FAMILY KINASE 3; SIK3
STK11,602216,SERINE/THREONINE PROTEIN KINASE 11; STK11
MYLK,600922,MYOSIN LIGHT CHAIN KINASE; MYLK
AMHR2,600956,ANTI-MULLERIAN HORMONE TYPE II RECEPTOR; AMHR2
BTK,300300,BRUTON AGAMMAGLOBULINEMIA TYROSINE KINASE; BTK
SCYL2,616365,SCY1-LIKE PROTEIN 2; SCYL2
ITPKC,606476,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE C; ITPKC"
MAP4K4,604666,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4; MAP4K4
TNIK,610005,TRAF2- AND NCK-INTERACTING KINASE; TNIK
STKLD1,618530,SERINE/THREONINE KINASE-LIKE DOMAIN-CONTAINING PROTEIN 1; STKLD1
MAST1,612256,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 1; MAST1
MYO3A,606808,MYOSIN IIIA; MYO3A
GUCY2D,600179,"GUANYLATE CYCLASE 2D, RETINAL; GUCY2D"
MOS,190060,"MOS PROTOONCOGENE, SERINE/THREONINE KINASE; MOS"
PRKACG,176893,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, GAMMA; PRKACG"
PHKG2,172471,"PHOSPHORYLASE KINASE, TESTIS/LIVER, GAMMA-2; PHKG2"
IGF1R,147370,INSULIN-LIKE GROWTH FACTOR I RECEPTOR; IGF1R
OBSCN,608616,OBSCURIN; OBSCN
